PRICE,AREA
20.5 L,750
25 L,850
32 L,995
36 L,1000
1.55 Cr,1409
52.54 L,1108
47.84 L,920
45 L,947
32 L,802
1.45 Cr,1557
1.07 Cr,1080
45 L,1250
1.75 Cr,1600
95 L,1495
78 L,1155
1.47 Cr,2150
37.67 L,1108
62.6 L,963
47.58 L,865
58.44 L,1205
65.21 L,1175
65.46 L,1175
59.1 L,985
79.91 L,1310
72.16 L,1183
1 Cr,1616
35.43 L,1042
64.63 L,1175
58.45 L,1205
55.77 L,1150
45 L,941
70 L,1365
18 L,500
48 L,850
45 L,820
1 Cr,1730
61 L,1448
32 L,680
1.5 Cr,2133
1.2 Cr,1820
20 L,400
1.5 Cr,2133
21.5 L,400
97.5 L,1458
41 L,847
56 L,950
49 L,950
1 Cr,1350
3.3 Cr,1982
4.2 Cr,3200
4.5 Cr,3454
70 L,1008
17.5 L,550
26 L,740
37.64 L,918
28 L,735
78 L,1303
30 L,816
85 L,1560
15 L,500
30 L,752
31.5 L,725
24 L,760
42 L,900
1.1 Cr,1450
58 L,860
58 L,1375
58 L,1515
67 L,1530
1.2 Cr,1600
1.6 Cr,1800
2.8 Cr,2200
2.7 Cr,1891
2.45 Cr,1925
2.3 Cr,1950
44.35 L,792
85 L,1206
2.8 Cr,1954
1.55 Cr,1347
1.1 Cr,1150
1.9 Cr,2079
75 L,1250
75 L,1100
95 L,1328
95 L,1250
3.9 Cr,3490
1.35 Cr,1676
1.35 Cr,1602
84 L,1050
85 L,1328
75 L,979
47 L,866
3.11 Cr,1982
50 L,980
35 L,771
1.25 Cr,1760
80 L,1422
92 L,1480
85 L,1243
36.1 L,950
1.1 Cr,2230
2.72 Cr,2247
3.3 Cr,2730
2.67 Cr,2206
2.6 Cr,2151
17 L,570
27 L,1005
39.9 L,1050
33.94 L,893
48.7 L,1036
73.9 L,1349
85 L,1072
1.07 Cr,1340
30 L,767
85 L,1400
1.75 Cr,3000
65 L,1375
54 L,957
1.95 Cr,1985
2.5 Cr,1810
95 L,1504
75 L,1370
75 L,1450
87 L,1265
3.5 Cr,2348
14.46 L,556
2.6 Cr,2300
55 L,1080
51 L,1400
1.8 Cr,1654
98 L,1351
30.75 L,992
28.14 L,908
16.39 L,529
27.34 L,882
86 L,1272
85 L,1337
53 L,1140
67 L,1445
28.14 L,908
35.88 L,1158
43 L,1007
2.6 Cr,2527
2.35 Cr,2300
3 Cr,2021
75 L,1250
90 L,1285
19 L,360
55 L,1224
95 L,1285
62 L,1385
38.5 L,980
92 L,1445
93 L,1495
90 L,1445
75 L,1346
80 L,1192
31 L,780
42 L,1005
1.45 Cr,1718
1.35 Cr,1074
72 L,1343
28 L,840
75 L,1200
70 L,1250
29.5 L,1000
65.5 L,1100
75 L,1360
15 L,400
1.75 Cr,2300
37 L,783
37.1 L,783
23 L,486
1.95 Cr,2396
65 L,1250
90 L,1449
58 L,1250
67 L,1450
1.05 Cr,1659
85 L,1265
80 L,1265
1.35 Cr,1535
85 L,1317
90 L,1345
50.05 L,770
48 L,1302
49 L,1075
38 L,938
57 L,877
44 L,843
45.5 L,817
35 L,1200
38.1 L,762
42 L,971
